Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:37:00,True,-3.62875
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:55:00,False,10.939
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:55:00,False,24.049
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:37:00,False,13.782279999999998
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-13 03:18:00,False,8.542
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:55:00,False,5.18
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:37:00,False,17.807000000000002
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:55:00,False,13.741
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:37:00,False,1.54
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:56:00,False,15.16875
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:56:00,False,1.442
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:37:00,False,2.332
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:56:00,False,2.3
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:56:00,False,11.152000000000001
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:37:00,False,10.337
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:18:00,False,6.462999999999999
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:56:00,False,21.753
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:37:00,False,4.792
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:56:00,False,13.707
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:37:00,False,2.26
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:56:00,False,5.3
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:56:00,False,57.826919999999994
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:38:00,True,-3.8025
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:57:00,False,4.686
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:57:00,False,1.6675
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:38:00,False,11.16532
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:57:00,False,46.44164
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:19:00,True,-4.90125
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:38:00,False,22.839000000000002
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:57:00,False,2.54
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:57:00,False,11.311
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:38:00,False,1.02
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:57:00,False,22.747
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:38:00,False,2.439
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:57:00,False,13.845
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:57:00,False,5.13
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:38:00,False,7.593999999999999
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:19:00,False,12.96448
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:58:00,False,5.55
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:38:00,False,3.8930000000000002
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:58:00,False,20.675
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:58:00,False,46.67100000000001
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:38:00,False,1.57
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:58:00,False,8.968
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:39:00,True,-4.02625
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:58:00,False,2.82
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:58:00,False,10.833
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:39:00,False,16.6286
PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:19:00,False,21.749000000000002
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:58:00,False,23.706999999999997
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:39:00,False,21.429000000000002
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:58:00,False,13.879000000000001
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:39:00,False,1.63
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:59:00,True,-3.75375
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:59:00,False,48.99092
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:39:00,False,2.173
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:59:00,False,9.262
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:59:00,False,1.53
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:39:00,False,9.103
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:19:00,False,6.153
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:59:00,False,10.939
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:39:00,False,3.2710000000000004
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:59:00,False,19.25
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:59:00,False,13.845
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:39:00,False,1.33
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:59:00,False,5.2
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:40:00,False,1.94
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:00:00,False,12.565999999999999
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:00:00,False,25.386
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:40:00,False,15.778839999999999
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:19:00,False,21.798000000000002
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:00:00,False,10.567
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:40:00,False,23.384
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:00:00,False,3.7
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:00:00,False,-0.28600000000000003
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:40:00,False,1.77
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:00:00,False,38.363279999999996
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:40:00,False,2.386
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:00:00,False,10.2325
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:00:00,False,4.96
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:40:00,False,10.542
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-13 03:19:00,False,9.054
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:01:00,False,4.89
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:40:00,False,4.239
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:01:00,False,12.427999999999999
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:40:00,False,2.14
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:01:00,False,21.066999999999997
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:01:00,False,10.302
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:41:00,True,-3.66625
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:01:00,False,2.47
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:41:00,False,23.8572
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:19:00,False,6.53
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:01:00,False,4.4639999999999995
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:01:00,False,43.36596
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:41:00,False,19.283
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:01:00,False,48.95875
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:41:00,False,1.08
